instance,task_count,crew_limit,feasible_run_rate,median_makespan,makespan_std,median_runtime,median_feasible_read_rate
random_n10_r2_s20272719,10,2,1.0,26.0,0.5773502691896255,0.24801725000725128,0.36
random_n10_r2_s20273720,10,2,1.0,23.0,0.5773502691896255,0.27186625002650544,0.5
random_n10_r3_s20274719,10,3,1.0,19.0,1.0,0.18991137502598576,0.385
random_n10_r3_s20275720,10,3,1.0,26.0,1.154700538379251,0.20077266701264307,0.2
random_n12_r2_s20276719,12,2,1.0,17.0,0.0,0.35802408400923014,0.715
random_n12_r2_s20277720,12,2,1.0,25.0,2.0,0.36194450000766665,0.5
random_n12_r3_s20278719,12,3,1.0,24.0,1.5275252316519472,0.2986308320250828,0.365
random_n12_r3_s20279720,12,3,1.0,22.0,0.5773502691896255,0.3487764580058865,0.38
random_n4_r2_s20260719,4,2,1.0,10.0,0.5773502691896258,0.09984345798147842,0.8
random_n4_r2_s20261720,4,2,1.0,9.0,0.5773502691896258,0.09215687500545755,0.83
random_n4_r3_s20262719,4,3,1.0,7.0,0.0,0.055813083978137,0.85
random_n4_r3_s20263720,4,3,1.0,7.0,0.5773502691896257,0.09970154199982062,0.845
random_n6_r2_s20264719,6,2,1.0,8.0,0.0,0.12142541698995046,0.83
random_n6_r2_s20265720,6,2,1.0,9.0,0.5773502691896258,0.14381708300788887,0.805
random_n6_r3_s20266719,6,3,1.0,10.0,0.5773502691896255,0.11945829202886671,0.795
random_n6_r3_s20267720,6,3,1.0,9.0,0.5773502691896255,0.13543575000949204,0.745
random_n8_r2_s20268719,8,2,1.0,15.0,0.5773502691896255,0.20916766600566916,0.705
random_n8_r2_s20269720,8,2,1.0,17.0,1.5275252316519472,0.208394249988487,0.75
random_n8_r3_s20270719,8,3,1.0,14.0,0.0,0.15298158299992792,0.595
random_n8_r3_s20271720,8,3,1.0,15.0,0.0,0.21006141699035652,0.755
