instance,task_count,reps,seed,status,feasible,makespan,energy,exact_energy,qubits,runtime,feasible_probability
micro_2,2,1,11,completed,True,2.0,2.0,2.0,8,1.5894468750047963,0.001953125
micro_2,2,1,22,completed,True,2.0,2.0,2.0,8,0.26213037499110214,0.0087890625
micro_2,2,1,33,completed,True,2.0,2.0,2.0,8,0.23880383299547248,0.109375
micro_2,2,2,11,completed,True,2.0,2.0,2.0,8,0.33389825001358986,0.0087890625
micro_2,2,2,22,completed,True,2.0,2.0,2.0,8,0.3204875420196913,0.1142578125
micro_2,2,2,33,completed,True,2.0,5.0,2.0,8,0.30984545798855834,0.009765625
micro_3,3,1,11,completed,True,3.0,7.0,3.0,10,0.4616059999971185,0.0009765625
micro_3,3,1,22,completed,True,3.0,3.0,3.0,10,0.4098188749921974,0.0048828125
micro_3,3,1,33,completed,True,3.0,3.0,3.0,10,0.5401910000073258,0.0107421875
micro_3,3,2,11,completed,True,3.0,7.0,3.0,10,0.5338229999761097,0.0009765625
micro_3,3,2,22,completed,True,3.0,3.0,3.0,10,0.6253955000138376,0.0048828125
micro_3,3,2,33,completed,True,3.0,3.0,3.0,10,0.5976647080096882,0.009765625
four_task_toy,4,1,11,completed,True,4.0,4.0,4.0,12,0.9895640829927288,0.005859375
four_task_toy,4,1,22,completed,True,4.0,4.0,4.0,12,0.8618172919959761,0.001953125
four_task_toy,4,1,33,completed,True,4.0,14.0,4.0,12,1.3035717910097446,0.001953125
four_task_toy,4,2,11,completed,True,4.0,4.0,4.0,12,1.6350988750054967,0.005859375
four_task_toy,4,2,22,completed,True,4.0,4.0,4.0,12,1.2307874170073774,0.029296875
four_task_toy,4,2,33,completed,True,4.0,4.0,4.0,12,1.4040725420054514,0.013671875
construction_10,10,1,11,not run—qubit limit,False,,,,93,0.001164457993581891,
